date,potential_evaporation,soil_temperature_level_1,soil_temperature_level_2,surface_net_solar_radiation,surface_net_thermal_radiation,surface_solar_radiation_downwards,temperature_2m_min,temperature_2m_max,temperature_2m_mean,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,soil_temperature_1_c,soil_temperature_2_c,precipitation_m,precipitation_mm,solar_radiation_MJ,potential_evaporation_mm,evapotranspiration_crop_mm,2m_temperature,temperature_avg_c,soil_temp_surface_c,soil_temp_subsurface_c,gdd,gdd_base0,gdd_base10,wind_speed_max,dry_days,heavy_precip_days,soil_moisture_stress
2022-04-25,-0.04465674143284559,276.49560801188153,274.3618965148926,96102662.0,-53066318.0,131236982.0,274.62082,287.1767,279.3304379781087,0.0013154879405874453,-2.6780573527018228,-0.06366856892903645,0.3997077941894531,0.4054381052652995,3.3456073900063834,1.2118971596161525,0.0013154879405874453,1.3154879200737923,131.23698296118528,-44.6567415073514,-44.6567415073514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8589364687601724,1.0,0.0,0.0
2022-04-26,-0.026635064743459225,279.1811345418294,277.0372784932454,63229050.0,-9642713.75,80601374.0,279.06427,287.96283,282.5410321553548,0.09733544559276197,0.8770612080891927,1.4998794794082642,0.41170819600423175,0.4132162729899089,6.031134565671285,3.8872790336608887,0.09733544559276197,97.3354440331459,80.60137400915846,-26.63506445288658,-26.63506445288658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8320827980836234,1.0,0.0,0.0
2022-04-27,-0.011982967145740986,278.83355712890625,278.065367380778,59899512.0,-14931615.875,73498150.0,277.86737,284.06982,280.24436950683594,0.059892595279961824,0.045801798502604164,-0.8293282588322958,0.4119332631429036,0.4099864959716797,5.683560212453206,4.9153666496276855,0.059892595279961824,59.892594411969185,73.49815060989931,-11.98296720534563,-11.98296720534563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.170266680419445,1.0,0.0,0.0
2022-04-28,-0.053027447778731585,277.82643763224286,277.1873664855957,122433292.0,-47200438.1875,148361034.0,274.6155,281.65314,277.5283203125,0.009310247842222452,1.4691441853841145,-3.056489030520121,0.3986040751139323,0.40951283772786456,4.676436901092529,4.037365118662517,0.009310247842222452,9.310247629880905,148.36103284731507,-53.02744771540165,-53.02744771540165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4315591951211295,1.0,0.0,0.0
2022-04-29,-0.05976411420851946,277.2003682454427,276.91796112060547,98573338.0,-68654784.125,118873932.0,273.19632,280.44708,276.51099522908527,0.004180622054263949,0.1743602752685547,-2.670764923095703,0.38309351603190106,0.39450963338216144,4.050366262594859,3.7679597536722818,0.004180622054263949,4.180622100830078,118.87393260747194,-59.764114171266556,-59.764114171266556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9158968180418015,1.0,0.0,0.0
2022-04-30,-0.03302878513932228,277.8846829732259,276.8631769816081,114643130.0,-51681336.875,136705448.0,273.29767,286.20764,278.4974835713704,0.0024103471951093525,-0.5807859500249227,-1.1585780382156372,0.37920888264973956,0.38528696695963544,4.7346824159224825,3.713176886240641,0.0024103471951093525,2.4103472009301186,136.70544630661607,-33.02878513932228,-33.02878513932228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4314764936765034,1.0,0.0,0.0
2022-05-01,-0.03877764334902167,279.0822397867839,277.80409876505536,167318040.0,-80406514.375,196670140.0,273.923,287.15106,280.42674255371094,0.00013493598089553416,-1.4263680775960286,-1.0245073239008586,0.37623151143391925,0.3811658223470052,5.932239895065625,4.654099941253662,0.00013493598089553416,0.13493597507476807,196.6701406482607,-38.77764367684722,-38.77764367684722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0803269296884537,1.0,0.0,0.0
2022-05-02,-0.05483445804566145,281.2513732910156,279.239008585612,178851376.0,-89715388.9375,207854378.0,275.98578,291.56833,282.81903076171875,0.0,-2.4246597290039062,-0.6766796112060547,0.3713817596435547,0.3784942626953125,8.101370215415955,6.089009801546733,0.0,0.0,207.85437573492527,-54.83445828408003,-54.83445828408003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748619536558786,1.0,0.0,0.0
2022-05-03,-0.024909204803407192,282.1668078104655,280.73552831013996,87467248.0,-41696142.625,101332088.0,279.51083,289.30844,284.2238286336263,0.00016213767230510712,-0.015979766845703125,0.068306565284729,0.36582692464192706,0.37499554951985675,9.016808648904165,7.5855302810668945,0.00016213767230510712,0.16213767230510712,101.3320892220363,-24.909205101430416,-24.909205101430416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418052439888318,1.0,0.0,0.0
2022-05-04,-0.010985479690134525,282.45116424560547,281.24195607503253,38331128.0,-12420692.0,44432236.0,282.7843,287.49866,284.59410095214844,0.07983492035418749,0.5272808074951172,0.7666866381963094,0.3866628011067708,0.37661170959472656,9.301164627075195,8.091956893603006,0.07983492035418749,79.83492030203342,44.432235619518906,-10.98547974973917,-10.98547974973917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6174690077702205,1.0,0.0,0.0
2022-05-05,-0.06075103394687176,281.3042729695638,280.51065190633136,172157452.0,-94701495.875,199561522.0,275.61414,285.88934,281.14678446451825,0.005687900166606141,2.521684010823568,-1.166600187619527,0.37595367431640625,0.3791847229003906,8.154275039831797,7.360653837521871,0.005687900166606141,5.6879000660264865,199.56152052804828,-60.75103469192982,-60.75103469192982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9423547089099884,1.0,0.0,0.0
2022-05-06,-0.06566554866731167,280.20414606730145,279.914847056071,181506378.0,-105766506.875,210482424.0,274.26328,283.549,279.53522364298504,8.463858875984442e-07,1.6195640563964844,-1.5926782687505086,0.36076609293619794,0.371304194132487,7.054142991701762,6.764844457308452,8.463858875984442e-07,0.000846385897602886,210.4824237562716,-65.66554933786392,-65.66554933786392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296487182378769,1.0,0.0,0.0
2022-05-07,-0.0601302576251328,279.53955459594727,279.24977747599286,194195688.0,-109248270.125,225292032.0,273.86508,284.5548,279.11808522542316,0.0,-1.6730047861735027,-1.2951157887776692,0.3517131805419922,0.36339251200358075,6.389558508992195,6.099774201711019,0.0,0.0,225.29203199595213,-60.13025702536106,-60.13025702536106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2922108521064124,1.0,0.0,0.0
2022-05-08,-0.06575972214341164,280.5805409749349,279.5330518086751,198132516.0,-114294572.0,229966570.0,273.46484,288.64746,280.92087173461914,2.4807453655739664e-05,-1.8607139587402344,-0.8001751104990641,0.344333012898763,0.35676129659016925,7.430538545052211,6.383049845695496,2.4807453655739664e-05,0.024807453039102256,229.96657244861126,-65.75972184538841,-65.75972184538841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032832592725754,1.0,0.0,0.0
2022-05-09,-0.0699305864982307,282.545659383138,280.81066640218097,196578414.0,-108333568.625,228277364.0,275.64743,292.90564,284.3539212544759,1.5377996760435053e-05,-1.8891722361246746,-0.9300689697265625,0.3373451232910156,0.35138511657714844,9.395660181840261,7.660665849844615,1.5377996760435053e-05,0.015377996489405632,228.27736249938607,-69.93058548867702,-69.93058548867702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1331669688224792,1.0,0.0,0.0
2022-05-10,-0.07282496616244316,284.56428146362305,282.45241292317706,195010311.0,-103651239.75,226571667.0,277.9333,295.7569,286.87475713094074,7.790327060774871e-06,-1.4906775156656902,-0.14082487424214682,0.33028539021809894,0.3464336395263672,11.414282341798147,9.302411953608194,7.790327060774871e-06,0.007790326955728233,226.5716625760124,-72.82496711611748,-72.82496711611748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646780249973138,1.0,0.0,0.0
2022-05-11,-0.06299904780462384,286.15282313028973,283.87645467122394,193335902.25,-99020792.1875,224738522.0,281.49152,297.89954,289.5039545694987,2.5328993189077664e-05,-0.10712750752766927,0.6826094388961792,0.3233191172281901,0.3407446543375651,13.002824683984121,10.726453145345053,2.5328993189077664e-05,0.025328993797302246,224.73852144436387,-62.99904756247997,-62.99904756247997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6135182343423367,1.0,0.0,0.0
2022-05-12,-0.06927989330142736,288.73618443806964,285.6131731669108,190009550.0,-87817999.75,220331832.0,284.1102,300.03607,291.9135437011719,1.716613724056515e-06,-0.6630878448486328,-0.23306675752003989,0.3159637451171875,0.33490435282389325,15.586181640625,12.463172912597656,1.716613724056515e-06,0.00171661376953125,220.33183272110182,-69.27989429235458,-69.27989429235458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6110409076015155,1.0,0.0,0.0
2022-05-13,-0.07764984481036663,290.91960016886395,287.75561650594074,190589781.0,-81317480.125,219699637.0,287.02173,302.14087,294.0765190124512,1.1940299032175972e-05,1.3358866373697917,1.2500769297281902,0.30799102783203125,0.3284645080566406,17.769603729248047,14.60561434427897,1.1940299032175972e-05,0.011940298834815621,219.6996365407831,-77.64984458684921,-77.64984458684921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7572971458236375,1.0,0.0,0.0
2022-05-14,-0.07350614108145237,292.9565251668294,289.7062060038249,156657825.0,-74678932.875,179834446.0,288.60345,300.03027,294.5524317423503,8.583068279222061e-06,0.483489990234375,0.33820215861002606,0.29852867126464844,0.32128651936848956,19.806525548299152,16.556203842163086,8.583068279222061e-06,0.008583068149164319,179.8344461841043,-73.50614039599895,-73.50614039599895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0332643749813237,1.0,0.0,0.0
2022-05-15,-0.07079156208783388,290.5900764465332,289.63324610392254,95061672.75,-51973223.5,108938500.75,287.821,294.839,290.78836186726886,0.059596652770324,-2.6182753245035806,-1.2760662237803142,0.3145211537679036,0.31472142537434894,17.440074284871418,16.483245213826496,0.059596652770324,59.59665390837472,108.93849991867319,-70.7915627360344,-70.7915627360344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9337280889352164,1.0,0.0,0.0
2022-05-16,-0.03345099464058876,290.9087448120117,288.6604766845703,102166489.25,-20901282.0,116996665.75,287.79108,297.58496,291.7970326741536,0.09102248889394104,-1.1691220601399739,0.5630089044570923,0.3777580261230469,0.3330847422281901,17.758743286132812,15.510481516520182,0.09102248889394104,91.02249082922935,116.99666377331596,-33.450994819402695,-33.450994819402695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4700728158156078,1.0,0.0,0.0
2022-05-17,-0.04281127732247114,287.5587666829427,288.2787157694499,54327713.75,-22733981.5,62200860.75,278.84912,293.25226,285.8883247375488,0.23622621688991785,2.098483403523763,1.8425362904866536,0.3815453847249349,0.3608175913492839,14.40876833597819,15.128714243570963,0.23622621688991785,236.2262179851532,62.20086131594144,-42.8112775310874,-42.8112775310874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967452645301819,1.0,0.0,0.0
2022-05-18,-0.10886078141629696,283.886038462321,284.0660985310872,173133092.75,-55140811.125,198224831.0,277.42963,289.48865,281.8494567871094,0.03147640626411885,4.5288543701171875,-0.9382512172063192,0.3729133605957031,0.36763954162597656,10.736038704713186,10.916102091471354,0.03147640626411885,31.476406142115593,198.2248300628271,-108.86078204214573,-108.86078204214573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.735313385725021,1.0,0.0,0.0
2022-05-19,-0.060145920142531395,284.67347717285156,284.23047637939453,155433546.75,-87443790.0,178013233.0,277.54102,291.4254,284.5894584655762,0.0012505531194619834,-0.26781336466471356,1.1384206612904866,0.3506336212158203,0.35723431905110675,11.523476779460907,11.080475489298502,0.0012505531194619834,1.2505531311035156,178.01323428144678,-60.14591984450817,-60.14591984450817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9439161469539006,1.0,0.0,0.0
2022-05-20,-0.04128498211503029,286.15928649902344,284.8616714477539,128988709.25,-50735124.625,147741308.75,281.20114,295.1142,286.49628194173175,0.0006813425570726395,-0.4835929870605469,1.206154743830363,0.341278076171875,0.3485399881998698,13.009285608927408,11.711671829223633,0.0006813425570726395,0.6813425570726395,147.74130833894014,-41.284981697797775,-41.284981697797775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5083138048648834,1.0,0.0,0.0
2022-05-21,-0.04763747472316027,290.04371388753253,287.39539464314777,82266078.75,-32597061.5,94271318.75,288.22867,301.03076,292.52697372436523,0.04267120122676715,0.4328899383544922,2.167274514834086,0.3446674346923828,0.3435357411702474,16.893715540568035,14.2453982035319,0.04267120122676715,42.67120051383972,94.27131748758256,-47.63747411966324,-47.63747411966324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9131887505451837,1.0,0.0,0.0
2022-05-22,-0.022543547675013542,291.5680694580078,289.40409723917645,88816947.75,-23699646.625,101803333.0,289.98785,297.98975,292.908208211263,0.08546534762717783,1.4754619598388672,1.3147679567337036,0.39549509684244794,0.387722651163737,18.418067932128906,16.254099527994793,0.08546534762717783,85.46534788608551,101.8033325416036,-22.54354779422283,-22.54354779422283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.363842636346817,1.0,0.0,0.0
2022-05-23,-0.09129867143929005,287.5912907918294,287.81172943115234,180507279.25,-73731166.625,206956118.75,279.14478,289.4992,284.52412033081055,0.0065922083322220715,2.321233113606771,-1.8085730075836182,0.37887827555338544,0.3811321258544922,14.441292444864908,14.66172981262207,0.0065922083322220715,6.59220863878727,206.95611633220688,-91.29867185652256,-91.29867185652256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.006298358241717,1.0,0.0,0.0
2022-05-24,-0.06330410111695528,286.26905568440753,285.96467844645184,184296737.75,-98933447.0,211349156.75,278.2758,290.4593,284.9772198994954,2.8035043214913458e-05,-0.3263448079427083,-0.4399343729019165,0.357150395711263,0.3677215576171875,13.119056006272634,12.814683278401693,2.8035043214913458e-05,0.02803504467010498,211.3491575177759,-63.304101407527924,-63.304101407527924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960383425156275,1.0,0.0,0.0
